0.0262010097504 67868 215.3  15716   00:01
0.0673630237579 67868 215.3  15716   00:01
0.110229969025 67868 178.9  15716   00:01
0.148383140564 67868 178.9  15716   00:01
0.190788984299 67868 178.9  15716   00:01
0.229996919632 67868 185.7  15728   00:01
0.270208120346 67868 185.7  15728   00:01
0.309886932373 67868 185.7  15728   00:01
0.348758935928 67868 192.4  16260   00:01
0.387948036194 67868 192.4  16268   00:01
0.42594909668 67868 192.4  16268   00:01
0.462516069412 67868 197.3  16272   00:01
0.496922969818 67868 197.3  16272   00:01
0.539462089539 67868 197.3  16272   00:01
0.579033136368 67868 208.2  16272   00:01
0.619164943695 67868 208.2  16272   00:01
0.662348985672 67868 208.2  16272   00:01
0.700633049011 67868 212.5  16272   00:01
0.736669063568 67868 212.5  16272   00:01
0.772923946381 67868 212.5  16276   00:01
0.803843975067 67868 212.5  16276   00:01
0.83984708786 67868 215.4  16276   00:01
0.874058961868 67868 215.4  16284   00:01
0.905656099319 67868 215.4  16284   00:01
0.944082975388 67868 215.4  16288   00:01
0.977586984634 67868 222.5  16288   00:01
1.00889205933 67868 222.5  16288   00:02
1.04818296432 67868 222.5  16288   00:02
1.08163499832 67868 227.5  16292   00:02
1.1166229248 67868 227.5  16292   00:02
1.15501713753 67868 227.5  16292   00:02
1.18806290627 67868 227.5  16292   00:02
1.22279000282 67868 228.7  16292   00:02
1.26357793808 67868 228.7  16292   00:02
1.30047893524 67868 228.7  16292   00:02
1.339854002 67868 224.9  16292   00:02
1.37830305099 67868 224.9  16292   00:02
1.41640305519 67868 224.9  16292   00:02
1.45482301712 67868 219.7  16292   00:02
1.49141192436 67868 219.7  16292   00:02
1.53171610832 67868 219.7  16292   00:02
1.5704460144 67868 219.7  16296   00:02
1.61225199699 67868 219.5  16296   00:02
1.65247797966 67868 219.5  16300   00:02
1.69111514091 67868 219.5  16300   00:02
1.72848296165 67868 220.8  16300   00:02
1.76943397522 67868 220.8  16300   00:02
1.80604505539 67868 220.8  16624   00:02
1.84389901161 67868 221.3  16624   00:02
1.88518691063 67868 221.3  16624   00:02
1.92326402664 67868 221.3  16624   00:02
1.96028614044 67868 213.1  16624   00:02
1.99395895004 67868 213.1  16624   00:02
2.02343392372 67868 213.1  16624   00:03
2.05590510368 67868 213.1  16624   00:03
2.09391593933 67868 222.4  16624   00:03
2.12575697899 67868 222.4  16624   00:03
2.15894794464 67868 222.4  16624   00:03
2.19612908363 67868 222.4  16624   00:03
2.22882294655 67868 222.4  16624   00:03
2.26208305359 67868 222.4  16628   00:03
2.29813313484 67868 222.4  16628   00:03
2.33091592789 67868 228.0  16628   00:03
2.36777710915 67868 228.0  16628   00:03
2.40303897858 67868 228.0  16628   00:03
2.43735909462 67868 228.0  16628   00:03
2.47272491455 67868 227.2  16628   00:03
2.50584697723 67868 227.2  16628   00:03
2.53764295578 67868 227.2  16628   00:03
2.57380509377 67868 227.2  16628   00:03
2.60974693298 67868 224.6  16628   00:03
2.6422700882 67868 224.6  16628   00:03
2.68397903442 67868 224.6  16628   00:03
2.72065806389 67868 220.8  16628   00:03
2.75440001488 67868 220.8  16628   00:03
2.7962179184 67868 220.8  16628   00:03
2.82915902138 67868 224.7  16636   00:03
2.86093091965 67868 224.7  16636   00:03
2.89732813835 67868 224.7  16636   00:03
2.93347096443 67868 224.7  16636   00:03
2.96739792824 67868 217.0  16636   00:03
3.00591993332 67868 217.0  16636   00:04
3.0437040329 67868 217.0  16636   00:04
