0.0240778923035 71613   5.4   1012   00:00
0.0610270500183 71613   5.4   1052   00:00
0.0921139717102 71613   5.4   1104   00:00
0.122992038727 71613  15.1   1184   00:00
0.149775981903 71613  15.1   1256   00:00
0.177150964737 71613  15.1   1352   00:00
0.20445895195 71613  15.1   1460   00:00
0.231736898422 71613  15.1   1536   00:00
0.261135816574 71613  33.8   1596   00:00
0.290837049484 71613  33.8   1596   00:00
0.321121931076 71613  33.8   1604   00:00
0.348546981812 71613  33.8   1592   00:00
0.378041028976 71613  45.4   1596   00:00
0.40758395195 71613  45.4   1616   00:00
0.436105012894 71613  45.4   1628   00:00
0.463817834854 71613  45.4   1632   00:00
0.491021871567 71613  54.2   1632   00:00
0.520555973053 71613  54.2   1632   00:00
0.548312902451 71613  54.2   1632   00:00
0.575278043747 71613  54.2   1632   00:00
0.603106975555 71613  54.2   1632   00:00
0.630759000778 71613  58.8   1640   00:00
0.657945871353 71613  58.8   1656   00:00
0.685479879379 71613  58.8   1656   00:00
0.718019008636 71613  58.8   1656   00:00
0.74844789505 71613  61.4   1668   00:01
0.775555849075 71613  61.4   1680   00:01
0.802867889404 71613  61.4   1680   00:01
0.83024096489 71613  61.4   1708   00:01
0.857483863831 71613  61.4   1712   00:01
0.884882926941 71613  65.5   1708   00:01
0.915783882141 71613  65.5   1716   00:01
0.944608926773 71613  65.5   1716   00:01
0.972661018372 71613  65.5   1740   00:01
1.00028395653 71613  68.5   1752   00:01
1.02715802193 71613  68.5   1752   00:01
1.05456900597 71613  68.5   1744   00:01
1.08262085915 71613  68.5   1744   00:01
1.11092591286 71613  68.9   1752   00:01
1.13828396797 71613  68.9   1744   00:01
1.16502285004 71613  68.9   1744   00:01
1.19383692741 71613  68.9   1748   00:01
1.22076487541 71613  68.9   1748   00:01
1.24777197838 71613  69.0   1748   00:01
1.2752468586 71613  69.0   1748   00:01
1.30940485001 71613  69.0   1748   00:01
1.3393778801 71613  69.0   1748   00:01
1.3667318821 71613  67.4   1768   00:01
1.39300394058 71613  67.4   1768   00:01
1.41997098923 71613  67.4   1784   00:01
1.44842791557 71613  67.4   1788   00:01
1.47528982162 71613  67.4   1772   00:01
1.50674986839 71613  66.3   1780   00:01
1.53429198265 71613  66.3   1780   00:01
1.56306791306 71613  66.3   1780   00:01
1.59146904945 71613  66.3   1780   00:01
1.61887001991 71613  67.0   1780   00:01
1.64540195465 71613  67.0   1780   00:01
1.67244696617 71613  67.0   1780   00:01
1.70179104805 71613  67.0   1780   00:01
1.72988581657 71613  67.0   1772   00:01
1.75673389435 71613  68.1   1780   00:02
1.78530883789 71613  68.1   1780   00:02
1.81296300888 71613  68.1   1780   00:02
1.83928704262 71613  68.1   1780   00:02
1.86692595482 71613  68.4   1784   00:02
1.89849185944 71613  68.4   1780   00:02
1.92709684372 71613  68.4   1788   00:02
1.95477890968 71613  68.4   1784   00:02
1.98191690445 71613  68.4   1780   00:02
2.00908184052 71613  66.3   1784   00:02
2.0403008461 71613  66.3   1788   00:02
2.06723403931 71613  66.3   1788   00:02
2.09680891037 71613  66.3   1780   00:02
2.12540483475 71613  64.8   1788   00:02
2.15596389771 71613  64.8   1780   00:02
2.18470692635 71613  64.8   1796   00:02
2.2120218277 71613  64.8   1808   00:02
2.23895001411 71613  63.4   1812   00:02
2.26605987549 71613  63.4   1820   00:02
2.29447102547 71613  63.4   1820   00:02
2.32474803925 71613  63.4   1816   00:02
2.35459184647 71613  63.4   1828   00:02
2.38154983521 71613  63.8   1812   00:02
2.41068482399 71613  63.8   1816   00:02
2.43934798241 71613  63.8   1816   00:02
2.46670293808 71613  63.8   1820   00:02
2.49368596077 71613  65.7   1820   00:02
2.52270102501 71613  65.7   1820   00:02
2.55734395981 71613  65.7   1820   00:02
2.58646082878 71613  65.7   1820   00:02
2.61418199539 71613  66.9   1820   00:02
2.64282298088 71613  66.9   1812   00:02
2.67243099213 71613  66.9   1828   00:02
2.70095300674 71613  66.9   1832   00:02
2.7310359478 71613  66.9   1836   00:02
2.75953197479 71613  67.6   1832   00:03
2.79364204407 71613  67.6   1836   00:03
2.8218858242 71613  67.6   1836   00:03
2.85016298294 71613  67.6   1836   00:03
2.87914991379 71613  67.7   1848   00:03
2.91241288185 71613  67.7   1856   00:03
2.94419384003 71613  67.7   1848   00:03
2.97292590141 71613  67.7   1852   00:03
3.00123381615 71613  66.7   1848   00:03
3.03159689903 71613  66.7   1856   00:03
3.05985498428 71613  66.7   1864   00:03
3.08752584457 71613  66.7   1856   00:03
3.11585688591 71613  67.5   1856   00:03
3.14707684517 71613  67.5   1864   00:03
3.17671489716 71613  67.5   1856   00:03
3.20504903793 71613  67.5   1860   00:03
3.23306083679 71613  67.5   1864   00:03
3.26164293289 71613  69.2   1860   00:03
3.28934502602 71613  69.2   1868   00:03
3.31754899025 71613  69.2   1868   00:03
3.34734797478 71613  69.2   1864   00:03
3.3792719841 71613  68.8   1868   00:03
3.40789699554 71613  68.8   1876   00:03
3.43640899658 71613  68.8   1860   00:03
3.46502804756 71613  68.8   1868   00:03
3.49817991257 71613  69.2   1868   00:03
3.52866292 71613  69.2   1868   00:03
3.55857300758 71613  69.2   1860   00:03
3.58676505089 71613  69.2   1864   00:03
3.62136793137 71613  68.2   1872   00:03
3.64977884293 71613  68.2   1868   00:03
3.67775702477 71613  68.2   1872   00:03
3.70542001724 71613  68.2   1868   00:03
3.73689389229 71613  70.1   1872   00:03
3.76578402519 71613  70.1   1872   00:04
3.7935500145 71613  70.1   1864   00:04
3.82180595398 71613  70.1   1872   00:04
3.85040998459 71613  70.1   1864   00:04
3.87870883942 71613  72.3   1872   00:04
3.90808391571 71613  72.3   1872   00:04
3.93814301491 71613  72.3   1868   00:04
3.9666249752 71613  72.3   1880   00:04
3.99488592148 71613  72.4   1872   00:04
4.02349686623 71613  72.4   1872   00:04
4.05190587044 71613  72.4   1880   00:04
4.08214187622 71613  72.4   1872   00:04
4.11266493797 71613  68.5   1872   00:04
4.14074802399 71613  68.5   1872   00:04
4.17228198051 71613  68.5   1868   00:04
4.20301294327 71613  68.5   1872   00:04
4.22992992401 71613  68.5   1864   00:04
4.26204395294 71613  61.5   1872   00:04
4.28955888748 71613  61.5   1868   00:04
4.31612491608 71613  61.5   1864   00:04
4.34338498116 71613  61.5   1876   00:04
4.37236189842 71613  59.9   1884   00:04
4.40487599373 71613  59.9   1892   00:04
4.43308591843 71613  59.9   1884   00:04
4.46056199074 71613  59.9   1884   00:04
4.49038100243 71613  62.2   1884   00:04
4.52058792114 71613  62.2   1876   00:04
4.5488858223 71613  62.2   1884   00:04
4.57552194595 71613  62.2   1884   00:04
4.60460186005 71613  62.2   1876   00:04
4.63498783112 71613  63.1   1876   00:04
4.66432499886 71613  63.1   1876   00:04
4.69396686554 71613  63.1   1892   00:04
4.72335600853 71613  63.1   1884   00:04
4.75601387024 71613  64.1   1884   00:05
4.78366589546 71613  64.1   1884   00:05
4.81305503845 71613  64.1   1884   00:05
4.84448194504 71613  64.1   1876   00:05
4.87698793411 71613  65.5   1884   00:05
4.9053068161 71613  65.5   1884   00:05
4.93401002884 71613  65.5   1876   00:05
4.96541500092 71613  65.5   1880   00:05
4.99501800537 71613  65.1   1884   00:05
5.02379894257 71613  65.1   1884   00:05
5.05470299721 71613  65.1   1884   00:05
5.08379602432 71613  65.1   1884   00:05
5.11372995377 71613  66.4   1884   00:05
5.14385986328 71613  66.4   1884   00:05
5.17270684242 71613  66.4   1884   00:05
5.20076203346 71613  66.4   1884   00:05
5.23107504845 71613  66.4   1884   00:05
5.26292991638 71613  66.7   1884   00:05
5.29159998894 71613  66.7   1884   00:05
5.31993985176 71613  66.7   1880   00:05
5.34998297691 71613  66.7   1888   00:05
5.38090586662 71613  68.4   1884   00:05
5.40881991386 71613  68.4   1892   00:05
5.43823504448 71613  68.4   1884   00:05
5.46916294098 71613  68.4   1876   00:05
5.49881482124 71613  68.8   1884   00:05
5.52729082108 71613  68.8   1884   00:05
5.5565738678 71613  68.8   1888   00:05
5.58538293839 71613  68.8   1876   00:05
5.61330699921 71613  71.4   1884   00:05
5.64241099358 71613  71.4   1892   00:05
5.67255687714 71613  71.4   1884   00:05
5.70064687729 71613  71.4   1892   00:05
5.7283449173 71613  71.4   1884   00:05
5.75645804405 71613  70.1   1884   00:06
5.78354001045 71613  70.1   1892   00:06
5.81117200851 71613  70.1   1884   00:06
5.8427169323 71613  70.1   1884   00:06
5.87096095085 71613  69.9   1884   00:06
5.89851093292 71613  69.9   1884   00:06
5.9267308712 71613  69.9   1912   00:06
5.95447087288 71613  69.9   1908   00:06
5.98114395142 71613  69.9   1908   00:06
6.00906801224 71613  71.0   1904   00:06
6.03957486153 71613  71.0   1908   00:06
6.06704902649 71613  71.0   1900   00:06
6.09391689301 71613  71.0   1900   00:06
6.12149000168 71613  69.6   1908   00:06
6.15066194534 71613  69.6   1908   00:06
6.17741298676 71613  69.6   1908   00:06
6.20504593849 71613  69.6   1908   00:06
6.23582482338 71613  67.9   1904   00:06
6.26744198799 71613  67.9   1908   00:06
6.29613184929 71613  67.9   1912   00:06
6.3242919445 71613  67.9   1916   00:06
6.35461187363 71613  67.9   1900   00:06
6.38419485092 71613  68.8   1900   00:06
6.4138250351 71613  68.8   1908   00:06
6.44498300552 71613  68.8   1908   00:06
6.4744849205 71613  68.8   1900   00:06
6.50751399994 71613  69.0   1900   00:06
6.53669095039 71613  69.0   1908   00:06
6.56559586525 71613  69.0   1908   00:06
6.59377098083 71613  69.0   1908   00:06
6.62325286865 71613  70.7   1904   00:06
6.65789484978 71613  70.7   1916   00:06
6.68763804436 71613  70.7   1908   00:06
6.71598386765 71613  70.7   1916   00:06
6.74516296387 71613  70.2   1908   00:06
6.77290797234 71613  70.2   1908   00:07
