0.025417804718 19551  0.0 15992       00:00
0.0872919559479 19551  0.0 16512       00:00
0.150412797928 19551  0.0 16512       00:00
0.224005937576 19551  0.0 16512       00:00
0.279161930084 19551  0.0 16512       00:00
0.353415966034 19551  0.0 16512       00:00
0.418752908707 19551  0.0 16512       00:00
0.51743888855 19551  137 16512       00:01
0.572561979294 19551  143 16512       00:01
0.621696949005 19551  150 16512       00:01
0.685745000839 19551  155 16512       00:01
0.773438930511 19551  161 16512       00:01
0.821230888367 19551  163 16512       00:01
0.867249965668 19551  172 16512       00:01
0.932513952255 19551  180 16512       00:01
1.01108980179 19551  190 16512       00:01
1.08236598969 19551  199 16512       00:01
1.17089891434 19551  207 16512       00:01
1.22500300407 19551  216 16512       00:01
1.30038881302 19551  220 16512       00:01
1.35519981384 19551  231 16512       00:01
1.43672180176 19551  241 16512       00:01
1.50301384926 19551  125 16512       00:02
1.58150601387 19551  132 16512       00:02
1.65879201889 19551  135 16512       00:02
1.69042396545 19551  136 16512       00:02
1.73582100868 19551  142 16512       00:02
1.78138399124 19551  146 16512       00:02
1.84135389328 19551  150 16512       00:02
1.93086194992 19551  155 17792       00:02
1.9655148983 19551  158 17792       00:02
2.01844000816 19551  163 17792       00:02
2.13620901108 19551  170 17792       00:02
2.18644595146 19551  176 17792       00:02
2.25373792648 19551  180 17792       00:02
2.31602191925 19551  183 17792       00:02
