0.0295839309692 16196  0.0 42388       00:00
0.154344081879 16196  0.0 57236       00:00
0.253079891205 16196  0.0 75668       00:00
0.307183980942 16196  0.0 75668       00:00
0.327114105225 16196  0.0 79764       00:00
0.400825977325 16196  0.0 79764       00:00
0.473206043243 16196  156 79764       00:01
0.549977064133 16196  187 79764       00:01
0.590419054031 16196  192 79764       00:01
0.62596988678 16196  214 85908       00:01
0.72563791275 16196  243 85908       00:01
0.795382976532 16196  262 85908       00:01
0.873255968094 16196  284 85908       00:01
0.965869903564 16196  304 85908       00:01
1.05485105515 16196  329 85908       00:01
1.14884495735 16196  347 85908       00:01
1.22564196587 16196  361 87956       00:01
1.29748702049 16196  372 87956       00:01
1.36011695862 16196  391 87956       00:01
1.43414592743 16196  417 87956       00:01
1.51714897156 16196  223 87956       00:02
1.62304997444 16196  231 87956       00:02
1.69501399994 16196  240 87956       00:02
1.75893807411 16196  246 87956       00:02
1.82901310921 16196  253 87956       00:02
1.88018393517 16196  256 87956       00:02
1.89858794212 16196  258 87956       00:02
1.95055198669 16196  266 87956       00:02
2.05171990395 16196  270 87956       00:02
2.11786103249 16196  281 87956       00:02
2.22951698303 16196  290 87956       00:02
2.32911109924 16196  301 87956       00:02
2.43173003197 16196  315 87956       00:02
2.50270104408 16196  219 87956       00:03
2.58625507355 16196  226 87956       00:03
2.61200094223 16196  228 87956       00:03
2.66912293434 16196  237 87956       00:03
2.77911710739 16196  242 87956       00:03
2.85059905052 16196  247 87956       00:03
2.9332690239 16196  255 87956       00:03
3.03477597237 16196  261 87956       00:03
3.11019706726 16196  266 87956       00:03
3.17736005783 16196  270 87956       00:03
3.25202894211 16196  275 87956       00:03
3.29764008522 16196  280 87956       00:03
3.37872290611 16196  285 87956       00:03
3.48158788681 16196  219 87956       00:04
3.5691421032 16196  223 87956       00:04
3.66356611252 16196  233 87956       00:04
3.73547291756 16196  236 87956       00:04
3.75031089783 16196  237 87956       00:04
3.76454496384 16196  238 87956       00:04
3.7785949707 16196  239 87956       00:04
3.795981884 16196  240 87956       00:04
3.80986404419 16196  241 87956       00:04
3.82409691811 16196  242 87956       00:04
3.83817911148 16196  243 87956       00:04
3.85215997696 16196  244 87956       00:04
3.86667299271 16196  245 87956       00:04
3.88411903381 16196  246 87956       00:04
3.89862108231 16196  247 87956       00:04
3.91247701645 16196  248 87956       00:04
3.92644405365 16196  249 87956       00:04
3.94095802307 16196  250 87956       00:04
3.95364809036 16196  250 87956       00:04
3.9774889946 16196  251 87956       00:04
4.01883506775 16196  254 87956       00:04
4.11032509804 16196  257 87956       00:04
4.18186593056 16196  261 87956       00:04
4.28629207611 16196  262 87956       00:04
4.36292505264 16196  264 87956       00:04
4.40963697433 16196  265 87956       00:04
4.44219207764 16196  267 87956       00:04
4.50541710854 16196  217 87956       00:05
4.59818100929 16196  219 87992       00:05
4.65675806999 16196  220 87992       00:05
4.6847589016 16196  221 87992       00:05
4.70979595184 16196  223 87992       00:05
4.79545593262 16196  226 87992       00:05
4.86860108376 16196  229 87688       00:05
4.95304703712 16196  231 87688       00:05
4.97389602661 16196  232 87688       00:05
