0.00713992118835 15201  110 117540      00:01
0.0225260257721 15201  119 124676      00:01
0.0787220001221 15201  142 132076      00:01
0.154819011688 15201  174 156448      00:01
0.236171960831 15201  201 176988      00:01
0.321212053299 15201  241 207388      00:01
0.396712064743 15201  253 215176      00:01
0.443737030029 15201  276 241296      00:01
0.518130064011 15201  312 251920      00:01
0.602466106415 15201  333 258472      00:01
0.679176092148 15201  354 264676      00:01
0.702980041504 15201  361 267856      00:01
0.743369102478 15201  381 273640      00:01
0.798635959625 15201  405 280028      00:01
0.884107112885 15201  425 286196      00:01
0.959346055984 15201  221 296324      00:02
1.07771706581 15201  235 308456      00:02
1.2090549469 15201  249 315120      00:02
1.29384493828 15201  257 321000      00:02
1.31266498566 15201  262 325180      00:02
1.37896203995 15201  279 334016      00:02
1.45120096207 15201  290 339460      00:02
1.52572989464 15201  303 346300      00:02
1.60203790665 15201  316 350888      00:02
1.67549705505 15201  331 361440      00:02
1.79400396347 15201  343 369756      00:02
1.86493206024 15201  358 378232      00:02
1.93590211868 15201  244 383996      00:03
2.00801205635 15201  251 390592      00:03
2.0825240612 15201  259 397708      00:03
2.14478206635 15201  267 403568      00:03
2.22155404091 15201  277 407156      00:03
2.30917596817 15201  287 407156      00:03
2.38700604439 15201  296 407344      00:03
2.45813393593 15201  303 407400      00:03
2.53280997276 15201  313 407400      00:03
2.60124206543 15201  322 407400      00:03
2.68433690071 15201  331 407400      00:03
2.73209095001 15201  337 407400      00:03
2.80934309959 15201  347 408016      00:03
2.90107011795 15201  356 408016      00:03
2.96664309502 15201  273 408460      00:04
3.03497290611 15201  280 411180      00:04
3.12113499641 15201  287 413616      00:04
3.20104408264 15201  295 416596      00:04
3.26588892937 15201  302 419168      00:04
3.34038090706 15201  308 421468      00:04
3.37825989723 15201  309 421736      00:04
3.44883990288 15201  317 425260      00:04
3.51095294952 15201  322 426748      00:04
3.57520294189 15201  329 428908      00:04
3.62206196785 15201  333 429856      00:04
3.69634795189 15201  340 432420      00:04
3.76788210869 15201  346 434448      00:04
3.84370589256 15201  353 436740      00:04
3.93146705627 15201  289 439444      00:05
4.01636099815 15201  295 442140      00:05
4.0907330513 15201  300 443624      00:05
4.16576910019 15201  306 445788      00:05
4.24035310745 15201  313 448352      00:05
4.32276797295 15201  317 450100      00:05
4.4009950161 15201  323 452124      00:05
4.4890639782 15201  326 453340      00:05
4.57289290428 15201  329 454272      00:05
4.64822912216 15201  331 454944      00:05
4.71511697769 15201  335 456436      00:05
4.77559304237 15201  338 457248      00:05
4.85917592049 15201  341 458460      00:05
4.92935109138 15201  287 459400      00:06
5.02860498428 15201  291 460884      00:06
5.15406107903 15201  296 462500      00:06
5.23593306541 15201  298 463312      00:06
5.30474996567 15201  300 464116      00:06
5.35556006432 15201  301 464656      00:06
5.42931509018 15201  305 466136      00:06
5.5245320797 15201  307 467216      00:06
5.62082195282 15201  310 468296      00:06
5.7031929493 15201  315 470044      00:06
5.78214907646 15201  321 472336      00:06
5.87443208694 15201  324 473816      00:06
5.96592903137 15201  279 474764      00:07
6.0393679142 15201  281 475436      00:07
6.11449289322 15201  284 476644      00:07
6.24884200096 15201  288 478132      00:07
6.34693312645 15201  291 479472      00:07
6.43121099472 15201  294 480552      00:07
6.45428705215 15201  294 480684      00:07
6.47051596642 15201  294     0       00:07
